Date, Value
2012-12-19,89.0900
2012-12-20,89.7600
2012-12-21,88.2000
2012-12-24,88.2900
2012-12-26,90.7100
2012-12-27,90.9100
2012-12-28,90.6600
2012-12-31,91.8300
2013-01-02,93.1400
2013-01-03,92.9700
2013-01-04,93.1200
2013-01-07,93.2000
2013-01-08,93.2100
2013-01-09,93.0800
2013-01-10,93.8100
2013-01-11,93.6000
2013-01-14,94.2700
2013-01-15,93.2600
2013-01-16,94.2800
2013-01-17,95.4900
2013-01-18,95.6100
2013-01-22,96.0900
2013-01-23,95.0600
2013-01-24,95.3500
2013-01-25,95.1500
2013-01-28,95.9500
2013-01-29,97.6200
2013-01-30,97.9800
2013-01-31,97.6500
2013-02-01,97.4600
2013-02-04,96.2100
2013-02-05,96.6800
2013-02-06,96.4400
2013-02-07,95.8400
2013-02-08,95.7100
2013-02-11,97.0100
2013-02-12,97.4800
2013-02-13,97.0300
2013-02-14,97.3000
2013-02-15,95.9500
2013-02-19,96.6900
2013-02-20,94.9200
2013-02-21,92.7900
2013-02-22,93.1200
2013-02-25,92.7400
2013-02-26,92.6300
2013-02-27,92.8400
2013-02-28,92.0300
2013-03-01,90.7100
2013-03-04,90.1300
2013-03-05,90.8800
2013-03-06,90.4700
2013-03-07,91.5300
2013-03-08,92.0100
2013-03-11,92.0700
2013-03-12,92.4400
2013-03-13,92.4700
2013-03-14,93.0300
2013-03-15,93.4900
2013-03-18,93.7100
2013-03-19,92.4400
2013-03-20,93.2100
2013-03-21,92.4600
2013-03-22,93.4100
2013-03-25,94.5500
2013-03-26,95.9900
2013-03-27,96.5300
2013-03-28,97.2400
2013-04-01,97.1000
2013-04-02,97.2300
2013-04-03,95.0200
2013-04-04,93.2600
2013-04-05,92.7600
2013-04-08,93.3600
2013-04-09,94.1800
2013-04-10,94.5900
2013-04-11,93.4400
2013-04-12,91.2300
2013-04-15,88.7500
2013-04-16,88.7300
2013-04-17,86.6500
2013-04-18,87.8300
2013-04-19,88.0400
2013-04-22,88.8100
2013-04-23,89.2100
2013-04-24,91.0700
2013-04-25,93.2700
2013-04-26,92.6300
2013-04-29,94.0900
2013-04-30,93.2200
2013-05-01,90.7400
2013-05-02,93.7000
2013-05-03,95.2500
2013-05-06,95.8000
2013-05-07,95.2800
2013-05-08,96.2400
2013-05-09,96.0900
2013-05-10,95.8100
2013-05-13,94.7600
2013-05-14,93.9600
2013-05-15,93.9500
2013-05-16,94.8500
2013-05-17,95.7200
2013-05-20,96.2900
2013-05-21,95.5500
2013-05-22,93.9800
2013-05-23,94.1200
2013-05-24,93.8400
2013-05-28,94.6500
2013-05-29,93.1300
2013-05-30,93.5700
2013-05-31,91.9300
2013-06-03,93.4100
2013-06-04,93.3600
2013-06-05,93.6600
2013-06-06,94.7100
2013-06-07,96.1100
2013-06-10,95.8200
2013-06-11,95.5000
2013-06-12,95.9800
